0,1080
0,1080
9,1080
20,1080
29,1080
34,1080
42,1080
51,1080
59,1080
67,1080
78,1080
92,1080
108,1080
125,1080
141,1080
157,1080
174,1080
192,1080
211,1080
230,1080
249,1080
269,1080
290,1080
311,1080
332,1080
353,1080
376,1080
398,1080
420,1080
442,1080
465,1080
489,1080
512,1080
535,1080
558,1080
581,1080
605,1080
628,1080
652,1080
676,1080
700,1080
724,1080
747,1080
768,1080
793,1080
817,1080
841,1080
865,1080
888,1080
912,1080
937,1080
958,1080
982,1080
1004,1080
1025,1080
1042,1080
1056,1080
1068,1080
1078,1080
1083,1080
1084,1080
,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
0,1080
0,1080
9,1080
20,1080
29,1080
34,1080
42,1080
51,1080
59,1080
67,1080
78,1080
92,1080
108,1080
125,1080
141,1080
157,1080
174,1080
192,1080
211,1080
230,1080
249,1080
269,1080
290,1080
311,1080
332,1080
353,1080
376,1080
398,1080
420,1080
442,1080
465,1080
489,1080
512,1080
535,1080
558,1080
581,1080
605,1080
628,1080
652,1080
676,1080
700,1080
724,1080
747,1080
768,1080
793,1080
817,1080
841,1080
865,1080
888,1080
912,1080
937,1080
958,1080
982,1080
1004,1080
1025,1080
1042,1080
1056,1080
1068,1080
1078,1080
1083,1080
1084,1080
,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
1084,1080
